openalex_id,title,stage2_system_paper,exclusion_reason,full_text_inspected,full_text_source,timing_terminology_hit,table7_row,author_network_status,final_role,version_family
W4416608880,Metasurface-assisted bioelectronics: bridging photonic innovation with biomedical implants,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4416952646,A Tree-Ring-Inspired Tunable Flexible Near-Zero-Index Metasurface for Microwave Power Transmission,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4417500451,Accurate Discrete Simulation of Plates and Shells via Mid-Edge Formulation,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7115559378,The Principle of Holographic Encryption Based on Metasurfaces and Its Research Progress,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7116839459,Design Approach of Broadband Phase-Dispersive Metasurface for EM Illusion Using Deep Learning-Based Method,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7117046278,Optically Transparent Transmissive Programmable Metasurface With Planar Huygens Resonance,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7119162085,Electromagnetic (EM)‐Driven Functional Materials,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7124155149,Broadband Linear-Phase Metasurface for Full-Polarization Cloaking With RCS-Reduction Capability,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7124240270,A single active metasurface for arbitrary polarization control,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7125395148,Writing metasurfaces by hand: A pen-based MXene approach for flexible and low-waste paper platforms,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7126033357,Integrated Multilayer Sandwich-Type Tunable Absorbing Composites for Wideband Radar Cross Section Control,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7129071136,Continuously reconfigurable liquid metal metasurface for wideband and polarization-insensitive electromagnetic wavefront manipulation,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7148491352,Multifunctional metasurfaces: From versatile electromagnetic control to array antenna applications,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7160613482,Deep learning-enabled temporal sequencing of metasurface for rewritable and customizable electromagnetic illusions,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7166049202,Magnetically levitated metasurface enabling tangible and bidirectional human-machine interaction,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7166296487,AI-enabled electromagnetic metasurfaces for wireless communication and invisibility cloak,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7167070672,A review of reconfigurable metasurfaces for radar applications,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7167716748,Reprogrammable Bistable Metasurface for Arbitrary Electromagnetic Wave Manipulation,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7168402977,Digintel metasurface of extensive reprogrammable morphing,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7172321591,Experimental validation of a Ku-band cross-polarization converter and detailed numerical RCS investigation across multiple geometries,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W7202295327,Intelligent Prediction of Far-Field Patterns for Conformal Metasurfaces Based on Neural Networks,no,"not a flexible-metasurface or reconfigurable-surface wireless *system* paper (optics, photonics, materials, mechanics, imaging, or non-system metasurface design)",no,,,,,excluded,
W4406727975,Flexible Intelligent Metasurfaces for Downlink Multiuser MISO Communications,yes,,yes,open institutional repository (Southampton ePrints 496956),yes,P4,"FIM lineage (An, Yuen)",propagation,F-ANJ-DL
W4408324568,Downlink Multiuser Communications Relying on Flexible Intelligent Metasurfaces,yes,,yes,corpus: GLOBECOM 2024 author version,no,,"FIM lineage (An, Yuen)",no timing value,F-ANJ-DL
W4408325233,Flexible Intelligent Metasurfaces for Enhancing MIMO Communications,yes,,yes,arXiv:2502.16478,no,N2,"FIM lineage (An, Yuen)",no timing value,F-ANJ-MIMO
W7153065651,Near-field equivalent modeling and efficient analysis for electromagnetic characteristics of conformal reconfigurable intelligent surfaces,yes,,no,not retrieved (Acta Physica Sinica),unknown,,AUTHOR-DISJOINT from FIM lineage and from all three seeds (published-record authorship only; full text not read),unread,F-APS
W4395683696,Optimal Morphing Metasurface Lens for Next Generation RF Sensing and Communications,yes,,yes,figshare open access (EuCAP 2024),no,N3,AUTHOR-DISJOINT from FIM lineage and from all three seeds,no timing value,F-BAN
W7167212071,DRL-Based Joint Beamforming and Surface Shape Optimization for Flexible Intelligent Metasurface-Aided ISAC Systems,yes,,no,paywalled (ICC),unknown,,shares author (An) with FIM lineage (published-record authorship only; full text not read),unread,F-DRL
W4408145283,Flexible Antenna Arrays for Wireless Communications: Modeling and Performance Evaluation,yes,,yes,arXiv author version,no,,disjoint from FIM lineage,no timing value,F-FAA
W4409248529,Flexible Antenna Arrays for Wireless Communications: Modeling and Performance Evaluation,yes,,yes,arXiv author version,no,,disjoint from FIM lineage,no timing value,F-FAA
W4411358764,Flexible Cylindrical Arrays With Movable Antennas for MISO System: Beamforming and Position Optimization,yes,,yes,arXiv author version,no,,disjoint from FIM lineage,no timing value,F-FCA
W7138939285,Weighted Sum-Rate Maximization for Flexible Intelligent Metasurface Aided Multicell Systems,yes,earlier conference version of the arXiv work read,no,paywalled (GLOBECOM 2025),unknown,,shares author (An) with FIM lineage,unread,F-HU
W7164909508,Weighted Sum-Rate Enhancement for Flexible Intelligent Metasurface-Assisted Multicell Systems,yes,,yes,arXiv:2606.06845,yes,P1;P2,shares author (An) with FIM lineage,propagation,F-HU
W7108202428,Flexible Reconfigurable Intelligent Surface-Aided Covert Communications in UAV Networks,yes,,no,paywalled (IEEE JSAC); Crossref author metadata only,unknown,,disjoint from FIM lineage; shares author (T. Pan) with seed LI,unread,F-HUA
W7117616820,Flexible Intelligent Metasurface for Downlink Communications Under Statistical CSI,yes,,yes,arXiv:2512.23045,no,N1,AUTHOR-DISJOINT from FIM lineage and from all three seeds,no timing value,F-KUM
W7168284973,Flexible Intelligent Metasurfaces for Enhancing MIMO Integrated Sensing and Communications,yes,,yes,arXiv author version,no,,"FIM lineage (An, Yuen)",no timing value,F-MIMO-ISAC
W4414603557,Flexible Intelligent Metasurface for Mitigating Beam Squint in Wideband Communications,yes,,no,paywalled (IEEE TVT),unknown,,shares author (An) with FIM lineage (published-record authorship only; full text not read),unread,F-MING
W7134133787,Flexible Intelligent Metasurfaces in High-Mobility MIMO Integrated Sensing and Communications,yes,,yes,corpus: IEEE TWC version of record,yes,P5,"FIM lineage (An, Yuen)",propagation,F-RAN
W4411867229,Flexible Intelligent Metasurface for Enhancing Multi-Target Wireless Sensing,yes,,yes,arXiv:2506.23052,no,,shares author with FIM lineage,no timing value,F-SENS
W7168251020,Sum-Rate Maximization for Flexible Intelligent Metasurface Enhanced Multiuser MISO Communications,yes,,no,paywalled (ICC),unknown,,shares author (An) with FIM lineage (published-record authorship only; full text not read),unread,F-SRM
W4401567993,T3DRIS: Advancing Conformal RIS Design Through In-Depth Analysis of Mutual Coupling Effects,yes,,yes,arXiv:2404.05261 / HAL open access,no,,shares author (Di Renzo) with FIM lineage,no timing value,F-T3D
W4410640243,Emerging Technologies in Intelligent Metasurfaces: Shaping the Future of Wireless Communications,yes,,no,paywalled (IEEE TAP),unknown,,"FIM lineage (An, Yuen, Debbah) (published-record authorship only; full text not read)",unread,F-TAP
W4416548650,Channel Estimation for Flexible Intelligent Metasurfaces: From Model-Based Approaches to Neural Operators,yes,,yes,arXiv:2508.00268v4,yes,P3,shares author (Yuen) with FIM lineage,propagation,F-XIA
W7125600937,Channel Estimation for Flexible Intelligent Metasurfaces: From Model-Based Approaches to Neural Operators,yes,,yes,arXiv:2508.00268v4,yes,P3,shares author (Yuen) with FIM lineage,propagation,F-XIA
W4415933650,Flexible Intelligent Metasurface-Aided Wireless Communications: Architecture and Performance,yes,,yes,corpus: IEEE TWC version of record,no,,FIM lineage (Yuen),no timing value,F-YAN
W4417282478,Harmonizing Flexibility and Intelligence: RIS-Aided Flexible Intelligent Metasurface Systems,yes,,no,paywalled (PIMRC 2025),unknown,,shares author (Di Renzo) with FIM lineage (published-record authorship only; full text not read),unread,F-ZAR
